737627.0 2019-07-21 accretion
737628.0 2019-07-22 accretion
737629.0 2019-07-23 accretion
737630.0 2019-07-24 erosion
737631.0 2019-07-25 erosion
737632.0 2019-07-26 erosion
737633.0 2019-07-27 erosion
737634.0 2019-07-28 erosion
737635.0 2019-07-29 equilibrium
737636.0 2019-07-30 accretion
737637.0 2019-07-31 accretion
737638.0 2019-08-01 accretion
737639.0 2019-08-02 accretion
737640.0 2019-08-03 accretion
737641.0 2019-08-04 accretion
737642.0 2019-08-05 accretion
737643.0 2019-08-06 accretion
737644.0 2019-08-07 accretion
737645.0 2019-08-08 accretion
737646.0 2019-08-09 accretion
737647.0 2019-08-10 accretion
737648.0 2019-08-11 accretion
737649.0 2019-08-12 accretion
737650.0 2019-08-13 accretion
737651.0 2019-08-14 accretion
737652.0 2019-08-15 equilibrium
737653.0 2019-08-16 equilibrium
737654.0 2019-08-17 equilibrium
737655.0 2019-08-18 accretion
737656.0 2019-08-19 accretion
737657.0 2019-08-20 accretion
737658.0 2019-08-21 accretion
737659.0 2019-08-22 accretion
737660.0 2019-08-23 accretion
737663.0 2019-08-26 erosion
737664.0 2019-08-27 erosion
737665.0 2019-08-28 erosion
737666.0 2019-08-29 erosion
737667.0 2019-08-30 equilibrium
737668.0 2019-08-31 accretion
737669.0 2019-09-01 equilibrium
737670.0 2019-09-02 erosion
737671.0 2019-09-03 erosion
737672.0 2019-09-04 equilibrium
737673.0 2019-09-05 erosion
737674.0 2019-09-06 erosion
737675.0 2019-09-07 erosion
737676.0 2019-09-08 erosion
737677.0 2019-09-09 equilibrium
737678.0 2019-09-10 equilibrium
737679.0 2019-09-11 equilibrium
737680.0 2019-09-12 equilibrium
737681.0 2019-09-13 erosion
737682.0 2019-09-14 erosion
737683.0 2019-09-15 erosion
737684.0 2019-09-16 equilibrium
737685.0 2019-09-17 erosion
737686.0 2019-09-18 erosion
737687.0 2019-09-19 erosion
737688.0 2019-09-20 erosion
737689.0 2019-09-21 erosion
737690.0 2019-09-22 equilibrium
737691.0 2019-09-23 accretion
737692.0 2019-09-24 equilibrium
737693.0 2019-09-25 equilibrium
737694.0 2019-09-26 equilibrium
737695.0 2019-09-27 erosion
737696.0 2019-09-28 equilibrium
737697.0 2019-09-29 accretion
737698.0 2019-09-30 erosion
737699.0 2019-10-01 erosion
737700.0 2019-10-02 erosion
737701.0 2019-10-03 equilibrium
737702.0 2019-10-04 erosion
737703.0 2019-10-05 erosion
737704.0 2019-10-06 erosion
737705.0 2019-10-07 erosion
737706.0 2019-10-08 erosion
737707.0 2019-10-09 erosion
737708.0 2019-10-10 erosion
737709.0 2019-10-11 erosion
737710.0 2019-10-12 erosion
737711.0 2019-10-13 equilibrium
737712.0 2019-10-14 equilibrium
737713.0 2019-10-15 accretion
737714.0 2019-10-16 equilibrium
737715.0 2019-10-17 accretion
737716.0 2019-10-18 erosion
737717.0 2019-10-19 accretion
737718.0 2019-10-20 erosion
737719.0 2019-10-21 erosion
737720.0 2019-10-22 erosion
737721.0 2019-10-23 equilibrium
737722.0 2019-10-24 accretion
737723.0 2019-10-25 accretion
737724.0 2019-10-26 accretion
737725.0 2019-10-27 equilibrium
737726.0 2019-10-28 erosion
737727.0 2019-10-29 equilibrium
737728.0 2019-10-30 equilibrium
737729.0 2019-10-31 equilibrium
737730.0 2019-11-01 erosion
737731.0 2019-11-02 equilibrium
737732.0 2019-11-03 equilibrium
737733.0 2019-11-04 accretion
737734.0 2019-11-05 erosion
737735.0 2019-11-06 erosion
737736.0 2019-11-07 equilibrium
737737.0 2019-11-08 erosion
737738.0 2019-11-09 erosion
737739.0 2019-11-10 accretion
737740.0 2019-11-11 accretion
737741.0 2019-11-12 accretion
737742.0 2019-11-13 erosion
737743.0 2019-11-14 equilibrium
737744.0 2019-11-15 erosion
737745.0 2019-11-16 erosion
737746.0 2019-11-17 erosion
737747.0 2019-11-18 erosion
737748.0 2019-11-19 erosion
737749.0 2019-11-20 equilibrium
737750.0 2019-11-21 erosion
737751.0 2019-11-22 accretion
737752.0 2019-11-23 equilibrium
737753.0 2019-11-24 accretion
737754.0 2019-11-25 accretion
737755.0 2019-11-26 accretion
