date,Hs,Tp,Dir,Level,year,Hb,omega_hs,omega,state,month,season,total_duration,delta_t,state_duration,k,real_duration,duration_levels,RTR
731731.0,0.4835679729166666,12.252844479166669,87.13117787499999,0.3908425632083334,2003-05-30,0.9381217403558761,1.0180110459527973,1.9749411615713486,reflective,May,Summer,423014400.0,86400.0,0.0,1,,,1.2791516797646971
731732.0,0.3710623166666666,10.471790833333332,94.20349583333332,0.4568178893333333,2003-05-31,0.7127943907592889,0.9140243693425643,1.7558006141322706,reflective,May,Summer,423100800.0,86400.0,1.0,2,1.0,less than 1 day,1.6835149315944054
731733.0,0.4470354452173913,7.767275043478261,68.01554404347826,0.542343683173913,2003-06-01,0.7341409504065209,1.484585305375944,2.438050223329024,intermediate,June,Summer,423187200.0,86400.0,0.0,1,,,1.6345634981068904
731734.0,0.4561251270833333,5.691708220833333,48.77198491666667,0.4977135556666667,2003-06-02,0.6588137546382066,2.0671559941160838,2.9857394847218752,intermediate,June,Summer,423273600.0,86400.0,1.0,2,,,1.8214555958367789
731735.0,0.4252758070833333,7.8355526375,78.08325741666667,0.3496615297083333,2003-06-03,0.707885152671149,1.4000157680862542,2.3303709245317044,intermediate,June,Summer,423360000.0,86400.0,2.0,3,,,1.6951902373879353
731736.0,0.61114918125,6.594831612499999,102.99093758333332,0.384386897125,2003-06-04,0.8830751837407279,2.3904265582278894,3.4540279802196157,intermediate,June,Summer,423446400.0,86400.0,3.0,4,,,1.3588876939297183
731737.0,0.4582252554166666,7.1061774416666665,100.93563745833332,0.4605122766,2003-06-05,0.7226300961488497,1.6633163494064067,2.6230820743491203,intermediate,June,Summer,423532800.0,86400.0,4.0,5,4.0,between 1 and 7 days,1.6606006397951354
731738.0,0.3258368658333333,7.249208029166667,90.113038125,0.4244927878333333,2003-06-06,0.5545169289949672,1.1594220057023563,1.973131948611706,reflective,June,Summer,423619200.0,86400.0,0.0,1,0.0,,2.164045743697919
731739.0,0.3879480704166667,7.1985364375,100.78521025,0.3667981439166667,2003-06-07,0.6357918672288183,1.3901487415350071,2.278256631504986,intermediate,June,Summer,423705600.0,86400.0,0.0,1,,,1.8874101130458876
731740.0,0.4849032995833333,7.742784841666666,107.76779258333332,0.4057793194166666,2003-06-08,0.7824946851728661,1.6154362728371587,2.606850270593598,intermediate,June,Summer,423792000.0,86400.0,1.0,2,,,1.533556741966752
731741.0,0.5188211500000001,7.7938541625,95.36105041666669,0.5479305734166667,2003-06-09,0.8281584855676313,1.717106684972559,2.740899193845374,intermediate,June,Summer,423878400.0,86400.0,2.0,3,,,1.4489980129558213
731742.0,0.4555820283333333,8.20068135,93.404812,0.492286264975,2003-06-10,0.7617134958455967,1.4330077159921173,2.3959270757788262,intermediate,June,Summer,423964800.0,86400.0,3.0,4,,,1.5753954820871998
731743.0,0.4690703004166667,8.3021655,94.93515854166668,0.3814764850833333,2003-06-11,0.7835474688498165,1.4573988804586935,2.4344777379288347,intermediate,June,Summer,424051200.0,86400.0,4.0,5,,,1.531496236930612
731744.0,0.4615402791666667,8.763948379166665,89.27418233333333,0.3095498404166666,2003-06-12,0.7903983401732385,1.358443811438247,2.3263662615060094,intermediate,June,Summer,424137600.0,86400.0,5.0,6,,,1.518221811722157
731745.0,0.41426664625,8.467797,98.350354875,0.2947281717916667,2003-06-13,0.7150403641519694,1.261947862856608,2.178171155138678,intermediate,June,Summer,424224000.0,86400.0,6.0,7,,,1.6782269367732656
731746.0,0.3765870995454545,8.359728513636362,103.93949359090908,0.3077334071818182,2003-06-14,0.6591247641095259,1.1619973750425008,2.033795758392227,intermediate,June,Summer,424310400.0,86400.0,7.0,8,7.0,between 1 and 7 days,1.820596138003089
731747.0,0.3670928304166667,8.552652729166667,101.746262625,0.3743806302083333,2003-06-15,0.6517176245016834,1.1071512283898033,1.9655790272758311,reflective,June,Summer,424396800.0,86400.0,0.0,1,,,1.8412882433823154
731748.0,0.6584978475,5.287434545833333,74.78494291666667,0.5052381704583334,2003-06-16,0.8581039437091937,3.212485954592474,4.186265569753735,intermediate,June,Summer,424483200.0,86400.0,0.0,1,,,1.3984319834412424
731749.0,1.4949370625,7.042989054166667,73.38284416666666,0.5816492936791667,2003-06-17,1.8543834435020077,5.475172136310328,6.791636126084332,dissipative,June,Summer,424569600.0,86400.0,0.0,1,0.0,,0.6471153548123775
731750.0,1.1509625875,9.487957166666666,81.39852445833334,0.5159966023333333,2003-06-18,1.694792214257487,3.129106708117772,4.60760909528597,intermediate,June,Summer,424656000.0,86400.0,0.0,1,,,0.7080513999916723
731751.0,0.94275601875,9.8671084375,80.57703745833334,0.489879437125,2003-06-19,1.4675530856248558,2.4645707776236345,3.83650528610578,intermediate,June,Summer,424742400.0,86400.0,1.0,2,,,0.817687626944727
731752.0,0.60034569875,8.981263083333333,84.14790016666667,0.53299713125,2003-06-20,0.9850414335358834,1.7242326609270822,2.8291043237344486,intermediate,June,Summer,424828800.0,86400.0,2.0,3,,,1.2182228677351226
731753.0,0.582708825,8.843763749999999,68.76300920833334,0.61014932125,2003-06-21,0.9559045698513816,1.699598523303453,2.7881060413636787,intermediate,June,Summer,424915200.0,86400.0,3.0,4,,,1.2553554380293097
731754.0,0.4087642316666666,8.9448776875,72.80815983333333,0.6169973400000001,2003-06-22,0.7231135177535097,1.1787734952185456,2.085277973776275,intermediate,June,Summer,425001600.0,86400.0,4.0,5,4.0,between 1 and 7 days,1.6594904818375256
731755.0,0.3035885108333333,8.853469958333333,82.786544875,0.5466092741666667,2003-06-23,0.5676388103368734,0.884511932156542,1.6538283992365799,reflective,June,Summer,425088000.0,86400.0,0.0,1,,,2.1140203561624737
731756.0,0.2866561477272727,8.648793322727274,85.39824527272728,0.4380289236363637,2003-06-24,0.5371178980102173,0.8549439104193063,1.6019390469097692,reflective,June,Summer,425174400.0,86400.0,1.0,2,,,2.234146366087345
731757.0,0.2960983122727272,8.613235840909091,86.60636172727273,0.2359292630454545,2003-06-25,0.5503179639216258,0.886750567639047,1.6480835812396966,reflective,June,Summer,425260800.0,86400.0,2.0,3,,,2.1805575661180843
731758.0,0.2945514643478261,8.180332391304349,84.96819282608695,0.2396456539999999,2003-06-26,0.5368287143658445,0.9287998092039067,1.6927649929772104,reflective,June,Summer,425347200.0,86400.0,3.0,4,,,2.2353498758306167
731759.0,0.26341896,10.286788182608696,86.64528165217392,0.2472458322173913,2003-06-27,0.5380565864527556,0.6605399900828248,1.3492115080839349,reflective,June,Summer,425433600.0,86400.0,4.0,5,,,2.23024869542298
731760.0,0.3112829066666667,11.699805333333332,74.32106954166666,0.2764055529999999,2003-06-28,0.6474318811520494,0.6862913409883226,1.4274053743343962,reflective,June,Summer,425520000.0,86400.0,5.0,6,,,1.853476844335659
731761.0,0.3509802904347826,10.478259569565218,92.27880995652174,0.1908237986956522,2003-06-29,0.6819307161614975,0.8640233083880771,1.6787382355271903,reflective,June,Summer,425606400.0,86400.0,6.0,7,6.0,between 1 and 7 days,1.7597095592858019
731762.0,0.3690810345833333,8.3086753125,100.01377416666666,0.1579304015,2003-06-30,0.6470062964773216,1.1458343132271664,2.0086700369600137,intermediate,June,Summer,425692800.0,86400.0,0.0,1,,,1.8546960153765082
731763.0,0.34362426375,7.269061670833333,86.52429933333333,0.1668856614166667,2003-07-01,0.5792376831160857,1.2193751803562443,2.0554661845203013,intermediate,July,Summer,425779200.0,86400.0,1.0,2,,,2.0716884190690794
731764.0,0.4431278975,7.3690838375,89.98841916666667,0.2122930562916666,2003-07-02,0.7138173198162564,1.5511274261771564,2.4986502278323965,intermediate,July,Summer,425865600.0,86400.0,2.0,3,,,1.6811023866847217
731765.0,0.59219997,6.792714454166667,107.44730558333332,0.1533943397083333,2003-07-03,0.8713456285890087,2.248831441482841,3.308864480303152,intermediate,July,Summer,425952000.0,86400.0,3.0,4,,,1.3771802607688401
731766.0,0.4274826908695652,8.549240386956523,102.0272828695652,0.1729159521913043,2003-07-04,0.7360447978291935,1.2898015301813341,2.2207956644770293,intermediate,July,Summer,426038400.0,86400.0,4.0,5,4.0,between 1 and 7 days,1.630335549601251
731767.0,0.3115837695652174,9.0017835,100.92627630434784,0.0766656860391304,2003-07-05,0.5834312612516629,0.8928492653435707,1.6718334646053747,reflective,July,Summer,426124800.0,86400.0,0.0,1,,,2.0567975693067644
731768.0,0.2678618770833333,8.1775519,108.74517133333336,0.0867119745833333,2003-07-06,0.49748095397609987,0.8449275689790782,1.5692243242424904,reflective,July,Summer,426211200.0,86400.0,1.0,2,,,2.41215264706928
731769.0,0.2757309279166667,6.7355289125,110.796612875,0.1363125047916666,2003-07-07,0.47112426863554757,1.0559556049277792,1.8042455949430558,reflective,July,Summer,426297600.0,86400.0,2.0,3,,,2.5470986741468336
731770.0,0.2848223908333333,7.9665349875,103.63599525,0.1726823773333333,2003-07-08,0.5170892364455769,0.9222242585699922,1.674279315963583,reflective,July,Summer,426384000.0,86400.0,3.0,4,,,2.3206826122482993
731771.0,0.3427207040909091,8.572624977272726,101.26897195454544,0.2109938519545454,2003-07-09,0.6174420621600577,1.0312367896432202,1.8578654933077248,reflective,July,Summer,426470400.0,86400.0,4.0,5,,,1.9435021899899776
731772.0,0.29953691125,8.63563725,100.53550045833332,0.2203265006666666,2003-07-10,0.5560021137181769,0.8947214273350398,1.6607869885258635,reflective,July,Summer,426556800.0,86400.0,5.0,6,5.0,between 1 and 7 days,2.1582651763231406
731773.0,0.42014166875,8.929979895833332,100.20216470833331,0.189214195375,2003-07-11,0.7386780700292828,1.2136044409233622,2.1337159650633577,intermediate,July,Summer,426643200.0,86400.0,0.0,1,,,1.6245236574471873
731774.0,0.39823874125,9.078385583333334,104.83314008333332,0.0828779797791666,2003-07-12,0.7123881119587282,1.1315318013676168,2.0241370818604034,intermediate,July,Summer,426729600.0,86400.0,1.0,2,,,1.684475049282576
731775.0,0.432583635,7.1329448625000005,111.30714054166668,0.0824989271666666,2003-07-13,0.6911336267138785,1.5643470258140473,2.499338268748728,intermediate,July,Summer,426816000.0,86400.0,2.0,3,,,1.7362778392155798
731776.0,0.3848259643478261,8.68264973478261,105.14472369565216,0.0577724208695652,2003-07-14,0.6808803711195686,1.1432572571186497,2.022788215008558,intermediate,July,Summer,426902400.0,86400.0,3.0,4,,,1.7624241363087694
731777.0,0.4488153339130435,8.663025304347826,99.339275,0.1392089962608695,2003-07-15,0.7693436804135135,1.3363800553111969,2.2907763449622442,intermediate,July,Summer,426988800.0,86400.0,4.0,5,,,1.5597710497277544
731778.0,0.3941048924999999,8.700801866666668,96.33135225,0.1550264118333333,2003-07-16,0.6945628990223964,1.168380847663561,2.0591319827765093,intermediate,July,Summer,427075200.0,86400.0,5.0,6,,,1.7277052973733709
731779.0,0.38576429875,8.577803270833334,98.41900279166668,0.127845565325,2003-07-17,0.678901029473319,1.16005300408534,2.041560562418825,intermediate,July,Summer,427161600.0,86400.0,6.0,7,,,1.7675624986619058
731780.0,0.4032277745833333,8.868286229166666,87.930607875,0.1830705976666666,2003-07-18,0.7128114059252757,1.172850397140394,2.0733223086865644,intermediate,July,Summer,427248000.0,86400.0,7.0,8,,,1.6834747452481091
731781.0,0.4097533399999999,9.291711708333333,91.47543420833334,0.189650143375,2003-07-19,0.7356219863083487,1.137518995723647,2.042165130606885,intermediate,July,Summer,427334400.0,86400.0,8.0,9,8.0,between 7 and 15 days,1.6312726132916304
731782.0,0.3577728466666667,10.044682645833332,86.67966829166666,0.2099721821375,2003-07-20,0.6808615321239035,0.9187620296448291,1.7484550015168252,reflective,July,Summer,427420800.0,86400.0,0.0,1,,,1.7624729014380904
731783.0,0.3369834258333333,7.9525291,96.617002,0.1458594213958333,2003-07-21,0.5911359177926256,1.0930377370844695,1.9174054756419094,reflective,July,Summer,427507200.0,86400.0,1.0,2,1.0,less than 1 day,2.0299899970229314
731784.0,0.39305507125,8.518054491666666,103.71390833333334,0.0372528259999999,2003-07-22,0.6872223848309845,1.1902683128764298,2.0810799513725713,intermediate,July,Summer,427593600.0,86400.0,0.0,1,,,1.74615965150077
731785.0,0.539363045,7.592672245833333,109.835606125,-0.0021993111166666,2003-07-23,0.8453980063445891,1.8323921225256592,2.872092668537798,intermediate,July,Summer,427680000.0,86400.0,1.0,2,,,1.4194497632998593
731786.0,0.55580504125,7.557671849999999,106.126205375,-0.0299931122333333,2003-07-24,0.8643539205892511,1.8969956390522358,2.950091302280918,intermediate,July,Summer,427766400.0,86400.0,2.0,3,,,1.3883201908564615
731787.0,0.520082955,7.34776815,101.26882533333333,2.461745833333186e-05,2003-07-25,0.8104359221798731,1.8257825773321894,2.8450841784656418,intermediate,July,Summer,427852800.0,86400.0,3.0,4,,,1.4806846132539329
731788.0,0.5724806770833334,9.4214,91.330909625,0.0291242672166666,2003-07-26,0.9666143799010786,1.5673907223863375,2.6464865485086624,intermediate,July,Summer,427939200.0,86400.0,4.0,5,,,1.241446459882798
731789.0,0.5436815954166666,8.832755895833333,93.87978391666668,-0.0091964011249999,2003-07-27,0.903883804947198,1.5877432875212285,2.6396616256693446,intermediate,July,Summer,428025600.0,86400.0,5.0,6,5.0,between 1 and 7 days,1.3276042710712137
731790.0,0.3742117245833333,8.8020208125,95.97518908333332,-0.054480767625,2003-07-28,0.6694609929077711,1.096647066891422,1.9618905182299695,reflective,July,Summer,428112000.0,86400.0,0.0,1,,,1.79248681060245
731791.0,0.3696186570833333,10.227464975,97.3366815,0.1350765755,2003-07-29,0.7038963556526413,0.9322186044794751,1.77530345340969,reflective,July,Summer,428198400.0,86400.0,1.0,2,1.0,less than 1 day,1.704796438230426
731792.0,0.6220312333333333,7.030381654166667,73.4587305,0.2313089316666666,2003-07-30,0.9188396397179895,2.2822602807514056,3.3712635342613813,intermediate,July,Summer,428284800.0,86400.0,0.0,1,,,1.3059950269105762
731793.0,0.6220315866666667,7.754803354166667,79.117729375,0.2221037408708333,2003-07-31,0.9556011752967053,2.069062126941438,3.1786138238775274,intermediate,July,Summer,428371200.0,86400.0,1.0,2,,,1.2557540017962108
731794.0,0.5565108658333333,8.912363670833333,93.96917870833332,0.2030466796666666,2003-08-01,0.9242181372075334,1.610692478800108,2.674936454550095,intermediate,August,Summer,428457600.0,86400.0,2.0,3,,,1.2983947746640463
731795.0,0.4965311645833333,10.498275395833334,95.45494466666666,0.1169688439583333,2003-08-02,0.90074695487357,1.2200016916917706,2.213179931322387,intermediate,August,Summer,428544000.0,86400.0,3.0,4,,,1.3322276511813835
731796.0,0.5390047258333334,10.9031768875,98.99186391666666,0.0928729210833333,2003-08-03,0.9765482139172846,1.2751797196744712,2.3103220027363953,intermediate,August,Summer,428630400.0,86400.0,4.0,5,,,1.2288179763151377
731797.0,0.8515543729166666,8.807868449999999,102.58557166666668,0.0862480477083333,2003-08-04,1.2927562411514357,2.4938679043166707,3.785974684000743,intermediate,August,Summer,428716800.0,86400.0,5.0,6,,,0.928249241273189
731798.0,0.6704649954166667,8.574141558333332,102.00725166666666,0.093492965125,2003-08-05,1.0562714832978661,2.017053145518415,3.1777284906325485,intermediate,August,Summer,428803200.0,86400.0,6.0,7,,,1.1360715677501658
731799.0,0.55899432375,8.054324429166668,101.14011970833332,0.0955889243333333,2003-08-06,0.8907092745587285,1.790235483844625,2.852585941136831,intermediate,August,Summer,428889600.0,86400.0,7.0,8,,,1.3472409396371212
731800.0,0.5687401237499999,7.785633700000001,103.88992358333331,0.1180383295125,2003-08-07,0.8909371940614403,1.884307527800475,2.9517869259833542,intermediate,August,Summer,428976000.0,86400.0,8.0,9,,,1.346896288535964
731801.0,0.5077332291666666,7.154819541666666,100.747135,0.1010744799833333,2003-08-08,0.7865862530129609,1.830496002564169,2.835825802016821,intermediate,August,Summer,429062400.0,86400.0,9.0,10,,,1.5255796747063504
731802.0,0.5458282854166666,6.7292319875,101.04497170833334,0.1062589736249999,2003-08-09,0.8132600498972755,2.092292599396998,3.117423609673098,intermediate,August,Summer,429148800.0,86400.0,10.0,11,,,1.4755427862853638
